instrument family,instrument,technique original,modulation technique,file_name,subset,label
Clarinets,Clarinet-Bb,trill-major-second-up,trill,BbCl-trill-maj2-C#5-mf.wav,training,1
Horns,Horn,ordinario-to-flatterzunge,flatterzunge,Hn-ord_flatt-A#4-f.wav,test,4
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-D4-pp.wav,training,4
Trumpets,Trumpet-C,flatterzunge-to-ordinario,flatterzunge,TpC-flatt_ord-B4-f.wav,training,4
Trombones,Tenor-Trombone-straight,flatterzunge,flatterzunge,TTbn+S-flatt-F2-mf.wav,validation,4
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-D#5-mf-3c.wav,validation,2
Strings,Viola,trill-major-second-up,trill,Va-trill-maj2-B3-mf-3c.wav,training,1
Strings,Contrabass,tremolo,tremolo,Cb-trem-G#2-mf-4c.wav,test,2
Strings,Viola,tremolo,tremolo,Va-trem-A3-mf-3c.wav,training,2
Strings,Violoncello,sul-tasto-tremolo,tremolo,Vc-tasto-trem-E4-mf-2c.wav,training,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-E2-ff-4c.wav,training,2
PluckedStrings,Harp,bisbigliando,bisbigliando,Hp-bisb-F#3-p.wav,validation,3
PluckedStrings,Harp,bisbigliando,bisbigliando,Hp-bisb-G4-mf.wav,test,3
Strings,Violoncello,sul-ponticello-tremolo,tremolo,Vc-pont-trem-A4-mf-1c.wav,test,2
Strings,Viola,sul-tasto-tremolo,tremolo,Va-tasto-trem-C#5-mf-3c.wav,training,2
Oboes,Oboe,vibrato,vibrato,Ob-vib-A#3-mf.wav,test,0
Trombones,Tenor-Trombone-cup,flatterzunge,flatterzunge,TTbn+C-flatt-A3-mf.wav,validation,4
Trombones,Tenor-Trombone-straight,flatterzunge,flatterzunge,TTbn+S-flatt-A#4-mf.wav,training,4
Strings,Violin,tremolo,tremolo,Vn-trem-D7-mf-1c.wav,training,2
Strings,Viola,tremolo,tremolo,Va-trem-B3-mf-3c.wav,validation,2
Strings,Violoncello,sul-tasto-tremolo,tremolo,Vc-tasto-trem-C#5-mf-1c.wav,test,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-E2-mf-2c.wav,training,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-D#3-mf-2c.wav,validation,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-G2-mf-2c.wav,training,2
PluckedStrings,Harp,bisbigliando-with-stick,bisbigliando,Hp-bisb+stick-G3-mf.wav,validation,3
Strings,Violin,sul-ponticello-tremolo,tremolo,Vn-pont-trem-D#6-mf-1c.wav,test,2
Strings,Violin,tremolo,tremolo,Vn-trem-C#5-pp-2c.wav,test,2
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-A6-mf.wav,training,2
Strings,Violin,sul-ponticello-tremolo,tremolo,Vn-pont-trem-F#4-mf-4c.wav,validation,2
Trombones,Tenor-Trombone-cup,flatterzunge,flatterzunge,TTbn+C-flatt-F#3-mf.wav,training,4
Horns,Horn,flatterzunge,flatterzunge,Hn-flatt-F#2-mf.wav,training,4
Strings,Violoncello-sordina,tremolo,tremolo,Vc+S-trem-C#3-mf-3c.wav,test,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-D2-mf-3c.wav,training,2
Strings,Violoncello,tremolo,tremolo,Vc-trem-E5-ff-1c.wav,training,2
Flutes,Flute,ordinario-to-flatterzunge,flatterzunge,Fl-ord_flatt-G#4-mf.wav,test,4
Oboes,Oboe,trill-minor-second-up,trill,Ob-trill-min2-D4-mf.wav,training,1
Strings,Violin,tremolo,tremolo,Vn-trem-A#5-mf-2c.wav,training,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-A#2-pp-1c.wav,training,2
Horns,Horn,trill-minor-second-up,trill,Hn-trill-min2-D5-mf.wav,validation,1
Strings,Violin,tremolo,tremolo,Vn-trem-D#7-ff-1c.wav,training,2
Saxophones,Alto-Sax,trill-minor-second-up,trill,ASax-trill-min2-E4-mf.wav,test,1
Strings,Viola,artificial-harmonic-tremolo,tremolo,Va-art-harm-trem-F6-mf-3c.wav,training,2
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-A5-ff-1c.wav,training,2
Strings,Viola,tremolo,tremolo,Va-trem-B4-ff-2c.wav,training,2
Strings,Violoncello-sordina-piombo,tremolo,tremolo,Vc+SP-trem-G#5-mf-1c.wav,training,2
Trombones,Tenor-Trombone,vibrato,vibrato,TTbn-vib-G4-mf.wav,training,0
Trombones,Tenor-Trombone-cup,flatterzunge,flatterzunge,TTbn+C-flatt-D#3-mf.wav,test,4
Strings,Violin,tremolo,tremolo,Vn-trem-C#6-ff-2c.wav,test,2
Tubas,Bass-Tuba,trill-major-second-up,trill,BBTb-trill-maj2-A#2-mf.wav,training,1
Strings,Violoncello-sordina-piombo,tremolo,tremolo,Vc+SP-trem-C#3-mf-3c.wav,training,2
Trumpets,Trumpet-C-wah,flatterzunge-open,flatterzunge,TpC+W-flatt-open-A#4-mf.wav,training,4
Strings,Viola,tremolo,tremolo,Va-trem-E5-ff-1c.wav,training,2
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-G4-mf.wav,training,2
Trombones,Tenor-Trombone-wah,flatterzunge-closed,flatterzunge,TTbn+W-flatt-closed-A#3-mf.wav,training,4
Strings,Violoncello,tremolo,tremolo,Vc-trem-A3-mf-2c.wav,validation,2
Horns,Horn,flatterzunge-to-ordinario,flatterzunge,Hn-flatt_ord-B1-f.wav,training,4
Trumpets,Trumpet-C,flatterzunge,flatterzunge,TpC-flatt-B4-pp.wav,training,4
Strings,Violin,tremolo,tremolo,Vn-trem-F#5-pp-3c.wav,training,2
Flutes,Flute,flatterzunge,flatterzunge,Fl-flatt-G#6-ff.wav,validation,4
Flutes,Flute,flatterzunge,flatterzunge,Fl-flatt-E4-ff.wav,training,4
Bassoons,Bassoon,trill-minor-second-up,trill,Bn-trill-min2-C5-mf.wav,training,1
Trombones,Tenor-Trombone,flatterzunge,flatterzunge,TTbn-flatt-B2-pp.wav,test,4
Strings,Contrabass,trill-major-second-up,trill,Cb-trill-maj2-G3-mf-1c.wav,test,1
Strings,Contrabass,tremolo,tremolo,Cb-trem-E2-pp-2c.wav,training,2
Strings,Viola,trill-minor-second-up,trill,Va-trill-min2-B3-mf-4c.wav,training,1
Horns,Horn-sordina,flatterzunge,flatterzunge,Hn+S-flatt-G#4-mf.wav,training,4
Strings,Violoncello,tremolo,tremolo,Vc-trem-G4-pp-1c.wav,training,2
Strings,Violoncello-sordina,tremolo,tremolo,Vc+S-trem-D#5-mf-1c.wav,training,2
Flutes,Flute,flatterzunge,flatterzunge,Fl-flatt-D6-pp.wav,test,4
Strings,Violin,tremolo,tremolo,Vn-trem-A6-ff-2c.wav,validation,2
Oboes,Oboe,vibrato,vibrato,Ob-vib-E5-mf.wav,test,0
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-B3-mf-4c.wav,training,2
Clarinets,Clarinet-Bb,trill-major-second-up,trill,BbCl-trill-maj2-A#4-mf.wav,validation,1
Trombones,Tenor-Trombone-wah,flatterzunge-open,flatterzunge,TTbn+W-flatt-open-F#4-mf.wav,validation,4
Flutes,Flute,flatterzunge,flatterzunge,Fl-flatt-B5-pp.wav,test,4
Strings,Violin,artificial-harmonic-tremolo,tremolo,Vn-art-harm-trem-D#6-mf-4c.wav,validation,2
Trombones,Tenor-Trombone-cup,flatterzunge,flatterzunge,TTbn+C-flatt-B2-mf.wav,training,4
PluckedStrings,Harp,bisbigliando,bisbigliando,Hp-bisb-D#6-p.wav,test,3
Strings,Contrabass,trill-major-second-up,trill,Cb-trill-maj2-B1-mf-4c.wav,test,1
Strings,Contrabass,trill-minor-second-up,trill,Cb-trill-min2-F3-mf-1c.wav,test,1
Flutes,Flute,ordinario-to-flatterzunge,flatterzunge,Fl-ord_flatt-D6-mf.wav,validation,4
Trombones,Tenor-Trombone-cup,flatterzunge,flatterzunge,TTbn+C-flatt-C#3-mf.wav,training,4
Strings,Contrabass,tremolo,tremolo,Cb-trem-F#2-ff-3c.wav,training,2
PluckedStrings,Harp,bisbigliando-with-stick,bisbigliando,Hp-bisb+stick-F#1-mf.wav,test,3
Bassoons,Bassoon,flatterzunge,flatterzunge,Bn-flatt-D#3-mf.wav,training,4
Flutes,Flute,trill-major-second-up,trill,Fl-trill-maj2-B4-mf.wav,training,1
Horns,Horn,ordinario-to-flatterzunge,flatterzunge,Hn-ord_flatt-C4-f.wav,training,4
Saxophones,Alto-Sax,bisbigliando,bisbigliando,ASax-bisb-G#3-mf.wav,training,3
Strings,Viola,tremolo-to-ordinario,tremolo,Va-trem_ord-F#6-mf.wav,training,2
Strings,Contrabass,sul-ponticello-tremolo,tremolo,Cb-pont-trem-D#2-mf-2c.wav,training,2
Trumpets,Trumpet-C,trill-minor-second-up,trill,TpC-trill-min2-E5-mf.wav,test,1
Strings,Viola,tremolo,tremolo,Va-trem-E6-ff-1c.wav,training,2
Horns,Horn,flatterzunge,flatterzunge,Hn-flatt-E4-pp.wav,training,4
Strings,Contrabass,trill-minor-second-up,trill,Cb-trill-min2-F1-mf-4c.wav,validation,1
Tubas,Bass-Tuba,bisbigliando,bisbigliando,BBTb-bisb-E4-mf.wav,training,3
Tubas,Bass-Tuba,flatterzunge,flatterzunge,BBTb-flatt-D2-mf.wav,test,4
Saxophones,Alto-Sax,trill-major-second-up,trill,ASax-trill-maj2-D#3-mf.wav,training,1
Trombones,Tenor-Trombone-wah,flatterzunge-open,flatterzunge,TTbn+W-flatt-open-F2-mf.wav,validation,4
Strings,Viola,artificial-harmonic-tremolo,tremolo,Va-art-harm-trem-A#6-mf-2c.wav,validation,2
Strings,Violin-sordina-piombo,tremolo,tremolo,Vn+SP-trem-A#6-mf-1c.wav,validation,2
Strings,Viola,tremolo,tremolo,Va-trem-F4-pp-4c.wav,training,2
Strings,Viola,trill-major-second-up,trill,Va-trill-maj2-B3-mf-4c.wav,training,1
Strings,Violin,artificial-harmonic-tremolo,tremolo,Vn-art-harm-trem-F6-mf-4c.wav,test,2
Saxophones,Alto-Sax,ordinario-to-flatterzunge,flatterzunge,ASax-ord_flatt-A4-mf.wav,training,4
Strings,Viola,tremolo,tremolo,Va-trem-A#4-ff-1c.wav,training,2
Strings,Violoncello,tremolo,tremolo,Vc-trem-A3-pp-3c.wav,training,2
Strings,Violoncello-sordina,tremolo,tremolo,Vc+S-trem-G#4-mf-1c.wav,test,2
Strings,Viola,tremolo,tremolo,Va-trem-G#3-mf-4c.wav,training,2
Strings,Violoncello,ordinario-to-tremolo,tremolo,Vc-ord_trem-D5-mf.wav,validation,2
Strings,Violoncello,artificial-harmonic-tremolo,tremolo,Vc-art-harm-trem-F6-mf-1c.wav,training,2
Strings,Violin,sul-ponticello-tremolo,tremolo,Vn-pont-trem-C5-mf-2c.wav,training,2
Strings,Contrabass-sordina,tremolo,tremolo,Cb+S-trem-D2-mf-3c.wav,training,2
Strings,Violoncello,tremolo,tremolo,Vc-trem-G#5-pp-1c.wav,validation,2
Strings,Contrabass,sul-tasto-tremolo,tremolo,Cb-tasto-trem-D#2-mf-4c.wav,training,2
Strings,Violin,tremolo,tremolo,Vn-trem-F6-mf-1c.wav,training,2
Flutes,Flute,ordinario-to-flatterzunge,flatterzunge,Fl-ord_flatt-F5-mf.wav,training,4
Strings,Violin,sul-ponticello-tremolo,tremolo,Vn-pont-trem-G6-mf-1c.wav,validation,2
Strings,Viola,sul-ponticello-tremolo,tremolo,Va-pont-trem-D#4-mf-3c.wav,training,2
Strings,Violin,trill-major-second-up,trill,Vn-trill-maj2-G4-mf-3c.wav,training,1
Strings,Violin,tremolo,tremolo,Vn-trem-E7-ff-1c.wav,training,2
Flutes,Flute,trill-major-second-up,trill,Fl-trill-maj2-D4-mf.wav,test,1
Strings,Contrabass,tremolo,tremolo,Cb-trem-E3-mf-1c.wav,training,2
Strings,Violoncello-sordina,tremolo,tremolo,Vc+S-trem-A#3-mf-1c.wav,training,2
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-A#3-ff.wav,training,4
Horns,Horn,ordinario-to-flatterzunge,flatterzunge,Hn-ord_flatt-C3-f.wav,training,4
Strings,Violoncello,trill-minor-second-up,trill,Vc-trill-min2-D#5-mf-1c.wav,training,1
PluckedStrings,Harp,bisbigliando-with-stick,bisbigliando,Hp-bisb+stick-A#2-mf.wav,test,3
Strings,Violoncello,sul-ponticello-tremolo,tremolo,Vc-pont-trem-A#3-mf-1c.wav,training,2
Strings,Viola,trill-minor-second-up,trill,Va-trill-min2-D6-mf-1c.wav,validation,1
Horns,Horn,trill-major-second-up,trill,Hn-trill-maj2-D4-mf.wav,validation,1
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-A#5-pp-1c 1.wav,training,2
Oboes,Oboe,double-trill-major-second-up,trill,Ob-dbl-trill-maj2-E5-mf.wav,validation,1
Strings,Contrabass,artificial-harmonic-tremolo,tremolo,Cb-art-harm-trem-F4-mf-4c.wav,training,2
Tubas,Bass-Tuba,trill-minor-second-up,trill,BBTb-trill-min2-G1-mf.wav,test,1
Strings,Violoncello,tremolo-to-ordinario,tremolo,Vc-trem_ord-A#4-mf.wav,training,2
Strings,Contrabass,ordinario-to-tremolo,tremolo,Cb-ord_trem-C#3-mf-1c.wav,training,2
Bassoons,Bassoon,trill-minor-second-up,trill,Bn-trill-min2-D#2-mf.wav,validation,1
Strings,Viola-sordina,tremolo,tremolo,Va+S-trem-D#4-mf-2c.wav,training,2
Flutes,Flute,trill-minor-second-up,trill,Fl-trill-min2-B5-mf.wav,training,1
Strings,Viola,sul-ponticello-tremolo,tremolo,Va-pont-trem-A#4-mf-1c.wav,training,2
Strings,Viola,ordinario-to-tremolo,tremolo,Va-ord_trem-G#4-mf-2c.wav,test,2
Tubas,Bass-Tuba,flatterzunge-and-voice-unison,flatterzunge,BBTb-flatt+voice-uni-F#3-mf.wav,test,4
Strings,Contrabass,sul-tasto-tremolo,tremolo,Cb-tasto-trem-C3-mf-3c.wav,test,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-A#2-mf-2c.wav,training,2
Strings,Viola,tremolo,tremolo,Va-trem-F4-mf-3c.wav,test,2
Flutes,Flute,flatterzunge,flatterzunge,Fl-flatt-G5-pp.wav,validation,4
Horns,Horn,flatterzunge,flatterzunge,Hn-flatt-D5-mf.wav,validation,4
Strings,Violoncello,trill-major-second-up,trill,Vc-trill-maj2-G3-mf-2c.wav,training,1
Strings,Violin,tremolo,tremolo,Vn-trem-A#5-ff-1c.wav,training,2
Strings,Violin,tremolo,tremolo,Vn-trem-G#6-ff-2c.wav,training,2
Tubas,Bass-Tuba,trill-major-second-up,trill,BBTb-trill-maj2-G1-mf.wav,training,1
PluckedStrings,Harp,bisbigliando-with-stick,bisbigliando,Hp-bisb+stick-F#3-mf.wav,training,3
Strings,Viola,tremolo,tremolo,Va-trem-B5-mf-2c.wav,validation,2
Tubas,Bass-Tuba,flatterzunge,flatterzunge,BBTb-flatt-B2-mf.wav,validation,4
Strings,Violoncello-sordina,tremolo,tremolo,Vc+S-trem-B4-mf-1c.wav,test,2
Trumpets,Trumpet-C,flatterzunge,flatterzunge,TpC-flatt-C#4-pp.wav,training,4
Strings,Violin,trill-minor-second-up,trill,Vn-trill-min2-C#4-mf-4c.wav,training,1
Bassoons,Bassoon,trill-major-second-up,trill,Bn-trill-maj2-B2-mf.wav,training,1
Tubas,Bass-Tuba,bisbigliando,bisbigliando,BBTb-bisb-A#3-mf.wav,validation,3
Trombones,Tenor-Trombone,vibrato,vibrato,TTbn-vib-A#2-mf.wav,validation,0
Strings,Viola,ordinario-to-tremolo,tremolo,Va-ord_trem-A#3-mf-4c.wav,training,2
Tubas,Bass-Tuba,flatterzunge,flatterzunge,BBTb-flatt-C4-mf.wav,training,4
Strings,Viola,trill-minor-second-up,trill,Va-trill-min2-A#5-mf-1c.wav,training,1
Strings,Violin,tremolo,tremolo,Vn-trem-E5-ff-1c.wav,validation,2
Strings,Violoncello,tremolo,tremolo,Vc-trem-D3-mf-4c.wav,validation,2
Saxophones,Alto-Sax,flatterzunge-to-ordinario,flatterzunge,ASax-flatt_ord-D5-mf.wav,validation,4
Strings,Viola,tremolo-to-ordinario,tremolo,Va-trem_ord-D#6-mf.wav,training,2
Saxophones,Alto-Sax,flatterzunge,flatterzunge,ASax-flatt-F5-mf.wav,training,4
Strings,Viola,tremolo,tremolo,Va-trem-D6-mf-2c.wav,test,2
Strings,Violoncello,sul-tasto-tremolo,tremolo,Vc-tasto-trem-G#4-mf-1c.wav,test,2
Strings,Violin,tremolo,tremolo,Vn-trem-G#5-pp-1c.wav,training,2
Trombones,Tenor-Trombone-straight,flatterzunge,flatterzunge,TTbn+S-flatt-E2-mf.wav,training,4
Trombones,Tenor-Trombone,ordinario-to-flatterzunge,flatterzunge,TTbn-ord_flatt-G#2-f.wav,test,4
Strings,Contrabass-sordina,tremolo,tremolo,Cb+S-trem-G3-mf-1c.wav,test,2
Bassoons,Bassoon,flatterzunge,flatterzunge,Bn-flatt-G#2-mf.wav,test,4
Strings,Violoncello,sul-ponticello-tremolo,tremolo,Vc-pont-trem-B2-mf-4c.wav,validation,2
Strings,Violin,tremolo,tremolo,Vn-trem-C4-pp-4c.wav,training,2
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-D#6-pp.wav,training,2
Strings,Violoncello-sordina,tremolo,tremolo,Vc+S-trem-G4-mf-1c.wav,training,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-B2-mf-3c.wav,test,2
Tubas,Bass-Tuba,flatterzunge,flatterzunge,BBTb-flatt-G1-pp.wav,training,4
Strings,Viola,trill-minor-second-up,trill,Va-trill-min2-A#4-mf-2c.wav,test,1
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-F3-pp.wav,test,4
Strings,Violoncello-sordina,tremolo,tremolo,Vc+S-trem-A3-mf-1c.wav,validation,2
Strings,Contrabass,tremolo-to-ordinario,tremolo,Cb-trem_ord-B2-mf.wav,test,2
Strings,Contrabass,artificial-harmonic-tremolo,tremolo,Cb-art-harm-trem-D#4-mf-4c.wav,test,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-C#2-mf-3c.wav,validation,2
Strings,Violoncello,tremolo-to-ordinario,tremolo,Vc-trem_ord-B3-mf.wav,test,2
Strings,Violin,tremolo,tremolo,Vn-trem-E4-pp-4c.wav,validation,2
Strings,Contrabass-sordina,tremolo,tremolo,Cb+S-trem-G#1-mf-4c.wav,training,2
PluckedStrings,Harp,bisbigliando,bisbigliando,Hp-bisb-G#6-mf.wav,validation,3
Saxophones,Alto-Sax,flatterzunge-to-ordinario,flatterzunge,ASax-flatt_ord-E5-mf.wav,training,4
Strings,Violin,artificial-harmonic-tremolo,tremolo,Vn-art-harm-trem-G#7-mf-1c.wav,training,2
Strings,Violin,tremolo,tremolo,Vn-trem-A#5-pp-3c.wav,training,2
PluckedStrings,Harp,bisbigliando,bisbigliando,Hp-bisb-G6-p.wav,training,3
Strings,Violoncello,ordinario-to-tremolo,tremolo,Vc-ord_trem-G4-mf-1c.wav,training,2
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-A5-ff-1c 1.wav,test,2
Oboes,Oboe,trill-major-second-up,trill,Ob-trill-maj2-D5-mf.wav,training,1
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-C6-mf.wav,training,2
Horns,Horn,flatterzunge,flatterzunge,Hn-flatt-G2-ff.wav,test,4
Strings,Viola,ordinario-to-tremolo,tremolo,Va-ord_trem-F#6-mf.wav,test,2
Trumpets,Trumpet-C,flatterzunge,flatterzunge,TpC-flatt-B5-pp.wav,training,4
Strings,Viola,sul-tasto-tremolo,tremolo,Va-tasto-trem-G#3-mf-4c.wav,test,2
Horns,Horn,flatterzunge-to-ordinario,flatterzunge,Hn-flatt_ord-D#5-f.wav,training,4
Flutes,Flute,trill-minor-second-up,trill,Fl-trill-min2-A4-mf.wav,training,1
Strings,Contrabass,artificial-harmonic-tremolo,tremolo,Cb-art-harm-trem-F5-mf-2c.wav,validation,2
Strings,Viola,sul-ponticello-tremolo,tremolo,Va-pont-trem-C#6-mf-1c.wav,training,2
Trumpets,Trumpet-C,trill-minor-second-up,trill,TpC-trill-min2-E4-mf.wav,test,1
PluckedStrings,Harp,bisbigliando-with-stick,bisbigliando,Hp-bisb+stick-B6-mf.wav,training,3
Strings,Violin,tremolo,tremolo,Vn-trem-D6-pp-2c.wav,validation,2
Strings,Violin,artificial-harmonic-tremolo,tremolo,Vn-art-harm-trem-E7-mf-1c.wav,training,2
Horns,Horn,flatterzunge,flatterzunge,Hn-flatt-F4-pp.wav,test,4
Strings,Viola,sul-ponticello-tremolo,tremolo,Va-pont-trem-D#5-mf-1c.wav,training,2
Oboes,Oboe,double-trill-minor-second-up,trill,Ob-dbl-trill-min2-D4-mf.wav,training,1
Strings,Violoncello,ordinario-to-tremolo,tremolo,Vc-ord_trem-G3-mf.wav,training,2
Oboes,Oboe,flatterzunge,flatterzunge,Ob-flatt-A5-mf.wav,training,4
Trombones,Tenor-Trombone-wah,flatterzunge-open,flatterzunge,TTbn+W-flatt-open-D#4-mf.wav,training,4
Strings,Contrabass,tremolo,tremolo,Cb-trem-A#1-pp-3c.wav,training,2
Strings,Violoncello,artificial-harmonic-tremolo,tremolo,Vc-art-harm-trem-A4-mf-3c.wav,validation,2
Bassoons,Bassoon,trill-major-second-up,trill,Bn-trill-maj2-D3-mf.wav,training,1
Saxophones,Alto-Sax,trill-major-second-up,trill,ASax-trill-maj2-G3-mf.wav,training,1
PluckedStrings,Harp,bisbigliando,bisbigliando,Hp-bisb-F5-p.wav,training,3
Trombones,Tenor-Trombone,vibrato,vibrato,TTbn-vib-E2-fff.wav,training,0
Strings,Violin,tremolo,tremolo,Vn-trem-C5-ff-2c.wav,test,2
Trombones,Tenor-Trombone,vibrato,vibrato,TTbn-vib-E3-f.wav,training,0
Strings,Viola,sul-tasto-tremolo,tremolo,Va-tasto-trem-A#4-mf-2c.wav,training,2
Strings,Viola,tremolo,tremolo,Va-trem-G#4-ff-4c.wav,training,2
Clarinets,Clarinet-Bb,flatterzunge-high-register,flatterzunge,BbCl-flatt-hi-reg-B6-mf.wav,validation,4
Strings,Viola,tremolo,tremolo,Va-trem-G#6-pp-1c.wav,validation,2
Trombones,Tenor-Trombone,ordinario-to-flatterzunge,flatterzunge,TTbn-ord_flatt-F4-f.wav,training,4
Strings,Violoncello,sul-tasto-tremolo,tremolo,Vc-tasto-trem-C2-mf-4c.wav,training,2
Strings,Violoncello,trill-major-second-up,trill,Vc-trill-maj2-C2-mf-4c.wav,training,1
Flutes,Flute,trill-minor-second-up,trill,Fl-trill-min2-G#5-mf.wav,training,1
Horns,Horn,flatterzunge-to-ordinario,flatterzunge,Hn-flatt_ord-G4-f.wav,training,4
Horns,Horn-sordina,flatterzunge,flatterzunge,Hn+S-flatt-F5-mf.wav,test,4
Trumpets,Trumpet-C,flatterzunge,flatterzunge,TpC-flatt-B4-mf.wav,training,4
Flutes,Flute,flatterzunge,flatterzunge,Fl-flatt-C#5-mf.wav,training,4
Strings,Violin,tremolo,tremolo,Vn-trem-F#5-ff-2c.wav,validation,2
Saxophones,Alto-Sax,trill-minor-second-up,trill,ASax-trill-min2-G3-mf.wav,validation,1
Strings,Violin,trill-major-second-up,trill,Vn-trill-maj2-C#5-mf-3c.wav,test,1
Horns,Horn,trill-major-second-up,trill,Hn-trill-maj2-G#4-mf.wav,test,1
Strings,Violoncello-sordina,tremolo,tremolo,Vc+S-trem-G#3-mf-2c.wav,test,2
Strings,Viola,tremolo,tremolo,Va-trem-F#4-pp-3c.wav,test,2
Strings,Contrabass,tremolo-to-ordinario,tremolo,Cb-trem_ord-F#4-mf-1c.wav,training,2
Strings,Violoncello-sordina,tremolo,tremolo,Vc+S-trem-F#4-mf-1c.wav,training,2
Bassoons,Bassoon,vibrato,vibrato,Bn-vib-B1-mf.wav,training,0
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-G6-ff.wav,validation,4
Strings,Violoncello,artificial-harmonic-tremolo,tremolo,Vc-art-harm-trem-A#5-mf-1c.wav,training,2
Tubas,Bass-Tuba,flatterzunge-and-voice-unison,flatterzunge,BBTb-flatt+voice-uni-C3-mf.wav,training,4
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-G4-ff-3c.wav,test,2
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-C6-pp.wav,training,2
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-F#3-pp.wav,test,4
Strings,Violoncello-sordina,tremolo,tremolo,Vc+S-trem-D3-mf-2c.wav,validation,2
Strings,Viola,trill-major-second-up,trill,Va-trill-maj2-G4-mf-2c.wav,training,1
Trombones,Tenor-Trombone,flatterzunge,flatterzunge,TTbn-flatt-D2-ff.wav,training,4
Bassoons,Bassoon,trill-minor-second-up,trill,Bn-trill-min2-A2-mf.wav,validation,1
Strings,Violoncello,sul-ponticello-tremolo,tremolo,Vc-pont-trem-B4-mf-1c.wav,training,2
Strings,Viola,sul-tasto-tremolo,tremolo,Va-tasto-trem-E6-mf-1c.wav,test,2
